MZ809611	SRR15391081
MZ810155	SRR15392048
MZ765422	SRR15398062
MZ698771	SRR15314205
MZ849883	SRR15233818
MZ916797	SRR15609000
MZ554386	SRR15088183
MZ697063	SRR15285895
MZ697643	SRR15287056
MZ740381	SRR15390776
MZ783298	SRR15379711
MZ655173	SRR15228959
MZ762307	SRR15396799
MZ785294	SRR15378255
MZ740871	SRR15290270
MZ783297	SRR15378195
MZ784852	SRR15382087
MZ812068	SRR15445241
MZ760820	SRR15393156
MZ590787	SRR15155469
MZ745236	SRR15272747
MZ848939	SRR15232251
MZ698970	SRR15287494
MZ617909	SRR15199985
MZ785780	SRR15381527
MZ797052	SRR15433486
MZ697689	SRR15286299
MZ854917	SRR15541524
MZ706032	SRR15200764
MZ745203	SRR15271768
MZ764788	SRR15398765
MZ740567	SRR15290098
MZ765012	SRR15398747
MZ802527	SRR15434123
MZ745492	SRR15271877
MZ696941	SRR15313372
MZ649854	SRR15228480
MZ647105	SRR15238368
MZ786023	SRR15381242
MZ785134	SRR15382193
MZ811414	SRR15445313
MZ699012	SRR15287568
MZ730690	SRR15344988
MZ491288	SRR14999914
MZ591943	SRR15157299
MZ690032	SRR15266701
MZ733004	SRR15351939
MZ730817	SRR15350470
MZ689843	SRR15266009
MZ530256	SRR15053124
MZ620517	SRR15201424
MZ761141	SRR15393591
OK117804	SRR15835388
MZ763278	SRR15407479
MZ763333	SRR15407456
MZ809963	SRR15392059
MZ804574	SRR15445938
MZ650742	SRR15223572
MZ554454	SRR15088173
MZ812002	SRR15445344
MZ810114	SRR15391062
MZ761125	SRR15393956
MZ849509	SRR15232953
MZ797208	SRR15433351
MZ744737	SRR15364209
MZ849249	SRR15231442
MZ783904	SRR15379513
MZ704252	SRR15224195
MZ754961	SRR15406168
MZ786717	SRR15381510
MZ743959	SRR15363772
MZ754891	SRR15406070
MZ761382	SRR15394142
MZ784353	SRR15382440
MZ698572	SRR15314093
MZ689883	SRR15266565
MZ730403	SRR15345043
MZ784172	SRR15382447
MZ809430	SRR15391802
MZ810073	SRR15391605
MZ796755	SRR15432446
OU435445	ERR6330107
MZ797320	SRR15432220
MZ698490	SRR15286561
MZ704768	SRR15138782
MZ761270	SRR15394035
MZ698686	SRR15314127
MZ703969	SRR15224253
MZ554082	SRR15087773
MZ811619	SRR15445738
MZ698085	SRR15286318
MZ655580	SRR15229562
MZ729627	SRR15342394
MZ809465	SRR15391259
MZ763797	SRR15407860
MZ797053	SRR15433240
MZ917041	SRR15609274
MZ694286	SRR15267190
MZ591527	SRR15156598
OK019906	SRR15698983
MZ683510	SRR15271235
MZ981505	SRR15681396
MZ554643	SRR15088618
OK019944	SRR15699023
MZ593021	SRR15138132
MZ698543	SRR15314394
MZ754783	SRR15406206
MZ698927	SRR15287509
MZ696962	SRR15285840
MZ555022	SRR15089134
MZ786783	SRR15381708
MZ688264	SRR15268243
MZ648992	SRR15227340
MZ697453	SRR15285433
MZ787015	SRR15380247
MZ802113	SRR15426984
MZ761281	SRR15394233
MZ849894	SRR15231694
MZ592731	SRR15156809
MZ591692	SRR15157201
MZ530332	SRR15052465
MZ785673	SRR15382413
MZ811616	SRR15444746
MZ729739	SRR15345170
MZ705854	SRR15201332
MZ801992	SRR15434854
MZ765450	SRR15398089
MZ698852	SRR15314489
MZ740865	SRR15289613
MZ784500	SRR15379185
MZ705751	SRR15201011
MZ706079	SRR15200332
MZ732274	SRR15351822
MZ590757	SRR15155262
MZ764846	SRR15399161
MZ762026	SRR15396955
MZ698233	SRR15286657
MZ697664	SRR15287316
MZ850641	SRR15232750
MZ554111	SRR15087843
MZ743813	SRR15380041
MZ650861	SRR15223710
MZ811402	SRR15444782
OK022090	SRR15693439
MZ765731	SRR15397439
MZ743479	SRR15270216
MZ796551	SRR15433055
OK030608	SRR15698929
MZ785633	SRR15381922
MZ655100	SRR15229122
MZ765676	SRR15397122
OK022063	SRR15693445
MZ784648	SRR15381279
MZ744861	SRR15363831
MZ835527	SRR15519660
MZ532218	SRR15053814
MZ694786	SRR15266734
MZ787162	SRR15378908
MZ786438	SRR15380609
MZ760969	SRR15394723
MZ696009	SRR15284081
MZ745923	SRR15272695
MZ696349	SRR15284874
MZ741296	SRR15290243
MZ705269	SRR15138692
MZ785213	SRR15381673
MZ760957	SRR15393811
MZ741382	SRR15289516
MZ783973	SRR15379970
MZ731520	SRR15350527
MZ650501	SRR15223798
MZ784418	SRR15380668
MZ740337	SRR15390786
MZ697010	SRR15285773
MZ764839	SRR15398946
OU435444	ERR6330378
MZ697934	SRR15287347
MZ850801	SRR15231601
MZ798065	SRR15432573
MZ746463	SRR15377542
MZ763969	SRR15408347
MZ704766	SRR15138785
MZ809913	SRR15391352
MZ759674	SRR15399489
MZ850929	SRR15233432
MZ728089	SRR15299443
MZ730551	SRR15344924
OK032727	SRR15707469
MZ433111	SRR14880573
MZ802348	SRR15434285
MZ743437	SRR15270265
MZ796949	SRR15433360
MZ849083	SRR15233098
MZ849294	SRR15230912
MZ744403	SRR15363233
MZ742693	SRR15363354
MZ787435	SRR15379199
MZ797945	SRR15432810
MZ591167	SRR15155784
MZ530568	SRR15053078
MZ804373	SRR15446187
MZ802153	SRR15426948
MZ689851	SRR15266385
MZ694464	SRR15267540
MZ760842	SRR15393092
MZ754698	SRR15410415
MZ554168	SRR15088045
MZ696665	SRR15313486
MZ811573	SRR15445722
MZ810293	SRR15391072
MZ804258	SRR15446316
MZ744836	SRR15363715
MZ760325	SRR15393323
MZ759860	SRR15393246
MZ763810	SRR15407849
MZ786845	SRR15379826
MZ981373	SRR15681092
MZ809706	SRR15391739
MZ518537	SRR15052057
MZ538228	SRR15022816
MZ744744	SRR15364202
MZ759997	SRR15393243
MZ730423	SRR15345047
MZ812045	SRR15445368
MZ796438	SRR15432746
MZ784199	SRR15380861
MZ802285	SRR15434243
MZ440953	SRR14893137
MZ741001	SRR15290374
MZ759485	SRR15400059
MZ741917	SRR15383194
OK039913	SRR15700586
MZ697338	SRR15285454
MZ760387	SRR15393256
MZ788512	SRR15434543
MZ730570	SRR15344832
MZ745295	SRR15271886
OU435419	ERR6330245
MZ849681	SRR15231646
MZ764726	SRR15398760
MZ732620	SRR15351461
MZ745156	SRR15271669
MZ705518	SRR15201197
MZ530146	SRR15052457
MZ764357	SRR15397870
MZ538107	SRR15023184
MZ787047	SRR15382779
MZ810191	SRR15391056
MZ810131	SRR15391029
MZ745810	SRR15273021
MZ729944	SRR15344286
MZ655526	SRR15229853
MZ730882	SRR15349864
MZ704709	SRR15138466
MZ705733	SRR15201031
MZ762299	SRR15396143
MZ744275	SRR15363573
MZ742785	SRR15363713
MZ689797	SRR15266666
MZ689983	SRR15266268
MZ762246	SRR15396648
MZ742076	SRR15383247
MZ784667	SRR15381301
MZ697785	SRR15286369
MZ655485	SRR15229478
MZ694028	SRR15267729
MZ784677	SRR15380096
MZ695960	SRR15283936
MZ802340	SRR15434108
MZ797186	SRR15433106
MZ555034	SRR15089225
MZ759178	SRR15400162
MZ592410	SRR15156016
MZ804351	SRR15446129
MZ802218	SRR15426850
MZ783375	SRR15381629
MZ787115	SRR15380795
MZ693958	SRR15267099
MZ690234	SRR15266518
MZ733044	SRR15351451
MZ591416	SRR15156406
MZ745651	SRR15272197
MZ655741	SRR15229281
MZ744667	SRR15364080
MZ734545	SRR15342035
MZ704142	SRR15224967
MZ697767	SRR15287255
MZ761074	SRR15393814
MZ761241	SRR15394013
MZ696817	SRR15313574
MZ705120	SRR15138654
OK039993	SRR15700663
MZ697991	SRR15286342
MZ740243	SRR15384233
MZ810393	SRR15391786
MZ761955	SRR15396389
MZ855160	SRR15541327
MZ762545	SRR15396289
MZ733206	SRR15351738
MZ763206	SRR15407872
MZ554429	SRR15088203
MZ833202	SRR15460106
MZ662374	SRR15223376
MZ650576	SRR15223869
MZ704347	SRR15224473
MZ850559	SRR15233035
MZ802069	SRR15434698
MZ694702	SRR15267665
MZ705500	SRR15201222
MZ936728	SRR15601347
MZ761968	SRR15396081
MZ743541	SRR15270736
MZ746037	SRR15273001
MZ732158	SRR15352265
MZ650771	SRR15223609
MZ662444	SRR15223356
MZ553970	SRR15087925
MZ581255	SRR15177654
MZ728722	SRR15352910
MZ742466	SRR15271721
MZ690287	SRR15266077
MZ811394	SRR15444787
MZ784887	SRR15380650
MZ797555	SRR15433115
OK117489	SRR15835375
MZ810440	SRR15391928
MZ694181	SRR15267719
MZ802397	SRR15434040
MZ694402	SRR15267568
MZ810145	SRR15390939
MZ728496	SRR15299179
MZ854848	SRR15541331
MZ849948	SRR15233756
MZ763017	SRR15407508
MZ785981	SRR15378921
MZ553992	SRR15087931
MZ833096	SRR15460093
MZ759576	SRR15399319
MZ698542	SRR15314462
MZ744816	SRR15363697
MZ694784	SRR15267180
MZ744557	SRR15363611
MZ705277	SRR15200264
MZ811546	SRR15444700
MZ704399	SRR15224135
MZ796502	SRR15432650
MZ760480	SRR15393253
MZ699582	SRR15288289
MZ760750	SRR15393027
MZ851255	SRR15505436
MZ592644	SRR15156239
MZ683533	SRR15271487
